Name	Version	Channel
ghc-aeson.x86_64	0.6.2.1-3.el7	@epel
ghc-aeson-pretty.x86_64	0.7.1-2.el7	@epel
ghc-array.x86_64	0.4.0.1-26.4.el7	@epel
ghc-attoparsec.x86_64	0.10.4.0-2.el7	@epel
ghc-base.x86_64	4.6.0.1-26.4.el7	@epel
ghc-base-devel.x86_64	4.6.0.1-26.4.el7	@epel
ghc-base-unicode-symbols.x86_64	0.2.2.4-4.el7	@epel
ghc-base64-bytestring.x86_64	1.0.0.1-3.el7	@epel
ghc-binary.x86_64	0.5.1.1-26.4.el7	@epel
ghc-blaze-builder.x86_64	0.3.1.1-2.el7	@epel
ghc-blaze-html.x86_64	0.6.1.1-2.el7	@epel
ghc-blaze-markup.x86_64	0.5.1.5-3.el7	@epel
ghc-bytestring.x86_64	0.10.0.2-26.4.el7	@epel
ghc-compiler.x86_64	7.6.3-26.4.el7	@epel
ghc-conduit.x86_64	1.0.3-2.el7	@epel
ghc-containers.x86_64	0.5.0.0-26.4.el7	@epel
ghc-data-default.x86_64	0.5.1-4.el7	@epel
ghc-deepseq.x86_64	1.3.0.1-26.4.el7	@epel
ghc-digest.x86_64	0.0.1.2-2.el7	@epel
ghc-directory.x86_64	1.2.0.1-26.4.el7	@epel
ghc-dlist.x86_64	0.5-11.el7	@epel
ghc-extensible-exceptions.x86_64	0.1.1.4-13.el7	@epel
ghc-filepath.x86_64	1.3.0.1-26.4.el7	@epel
ghc-hashable.x86_64	1.1.2.5-4.el7	@epel
ghc-highlighting-kate.x86_64	0.5.6-3.el7	@epel
ghc-hs-bibutils.x86_64	6.6.0.0-1.el7	@epel
ghc-hslua.x86_64	0.3.10-1.1.el7	@epel
ghc-lifted-base.x86_64	0.2.1.0-2.el7	@epel
ghc-monad-control.x86_64	0.3.2.1-2.el7	@epel
ghc-mtl.x86_64	2.1.2-27.el7	@epel
ghc-network.x86_64	2.4.1.2-32.el7	@epel
ghc-old-locale.x86_64	1.0.0.5-26.4.el7	@epel
ghc-old-time.x86_64	1.1.0.1-26.4.el7	@epel
ghc-pandoc.x86_64	1.12.3.1-2.el7	@epel
ghc-pandoc-citeproc.x86_64	0.3.0.1-4.el7	@epel
ghc-pandoc-types.x86_64	1.12.3.1-3.el7	@epel
ghc-parsec.x86_64	3.1.3-31.el7	@epel
ghc-pcre-light.x86_64	0.4-13.el7	@epel
ghc-pretty.x86_64	1.1.1.0-26.4.el7	@epel
ghc-primitive.x86_64	0.5.0.1-4.el7	@epel
ghc-process.x86_64	1.1.0.2-26.4.el7	@epel
ghc-random.x86_64	1.0.1.1-27.el7	@epel
ghc-resourcet.x86_64	0.4.6-2.el7	@epel
ghc-rfc5051.x86_64	0.1.0.3-2.el7	@epel
ghc-semigroups.x86_64	0.8.5-3.el7	@epel
ghc-setenv.x86_64	0.1.0-3.el7	@epel
